Unnamed: 0,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,3.6e-05,3.6e-05,2.0000000000000003e-06,3.82,21.9,3.42
1,3.6e-05,3.6e-05,3.0285714285714288e-05,3.82,22.3,2.85
2,3.6e-05,3.6e-05,5.8571428571428575e-05,3.83,21.6,2.79
3,3.6e-05,3.6e-05,8.685714285714286e-05,4.0,21.9,3.37
4,3.6e-05,3.6e-05,0.0001151428571428,4.0,20.7,3.23
5,3.6e-05,3.6e-05,0.0001434285714285,4.0,22.4,3.24
6,3.6e-05,3.6e-05,0.0001717142857142,4.3,25.8,4.67
7,3.6e-05,3.6e-05,0.0002,4.3,25.5,4.29
8,3.6e-05,0.0005451428571428,2.0000000000000003e-06,3.29,19.3,4.27
9,3.6e-05,0.0005451428571428,3.0285714285714288e-05,3.11,17.2,3.85
10,3.6e-05,0.0005451428571428,5.8571428571428575e-05,3.85,23.0,5.99
11,3.6e-05,0.0005451428571428,8.685714285714286e-05,3.29,18.8,4.17
12,3.6e-05,0.0005451428571428,0.0001151428571428,4.22,25.6,6.54
13,3.6e-05,0.0005451428571428,0.0001434285714285,4.33,26.3,6.88
14,3.6e-05,0.0005451428571428,0.0001717142857142,4.28,26.3,6.6
15,3.6e-05,0.0005451428571428,0.0002,4.52,26.2,6.19
16,3.6e-05,0.0010542857142857,2.0000000000000003e-06,3.41,21.1,6.33
17,3.6e-05,0.0010542857142857,3.0285714285714288e-05,2.98,17.6,5.3
18,3.6e-05,0.0010542857142857,5.8571428571428575e-05,2.87,15.5,4.54
19,3.6e-05,0.0010542857142857,8.685714285714286e-05,3.67,21.2,6.82
20,3.6e-05,0.0010542857142857,0.0001151428571428,3.94,21.5,7.42
21,3.6e-05,0.0010542857142857,0.0001434285714285,3.56,21.2,6.49
22,3.6e-05,0.0010542857142857,0.0001717142857142,2.82,14.4,4.34
23,3.6e-05,0.0010542857142857,0.0002,3.04,15.8,5.09
24,3.6e-05,0.0015634285714285,2.0000000000000003e-06,2.77,17.2,6.45
25,3.6e-05,0.0015634285714285,3.0285714285714288e-05,2.54,14.3,5.42
26,3.6e-05,0.0015634285714285,5.8571428571428575e-05,2.82,16.9,6.37
27,3.6e-05,0.0015634285714285,8.685714285714286e-05,2.74,16.5,6.29
28,3.6e-05,0.0015634285714285,0.0001151428571428,3.46,21.5,7.03
29,3.6e-05,0.0015634285714285,0.0001434285714285,4.09,25.8,8.24
30,3.6e-05,0.0015634285714285,0.0001717142857142,4.18,26.0,8.33
31,3.6e-05,0.0015634285714285,0.0002,4.2,26.0,8.34
32,3.6e-05,0.0020725714285714,2.0000000000000003e-06,2.42,14.0,6.25
33,3.6e-05,0.0020725714285714,3.0285714285714288e-05,2.62,15.9,6.97
34,3.6e-05,0.0020725714285714,5.8571428571428575e-05,2.58,14.3,6.53
35,3.6e-05,0.0020725714285714,8.685714285714286e-05,3.51,20.9,8.4
36,3.6e-05,0.0020725714285714,0.0001151428571428,3.93,24.2,8.92
37,3.6e-05,0.0020725714285714,0.0001434285714285,4.11,25.7,9.02
38,3.6e-05,0.0020725714285714,0.0001717142857142,3.94,24.1,8.86
39,3.6e-05,0.0020725714285714,0.0002,4.04,25.5,8.99
40,3.6e-05,0.0025817142857142,2.0000000000000003e-06,2.64,15.4,7.7
41,3.6e-05,0.0025817142857142,3.0285714285714288e-05,2.35,13.8,6.42
42,3.6e-05,0.0025817142857142,5.8571428571428575e-05,2.42,13.5,6.53
43,3.6e-05,0.0025817142857142,8.685714285714286e-05,2.25,12.3,5.87
44,3.6e-05,0.0025817142857142,0.0001151428571428,3.81,23.6,9.46
45,3.6e-05,0.0025817142857142,0.0001434285714285,3.78,23.3,9.38
46,3.6e-05,0.0025817142857142,0.0001717142857142,3.85,24.0,9.57
47,3.6e-05,0.0025817142857142,0.0002,3.95,22.9,9.94
48,3.6e-05,0.0030908571428571,2.0000000000000003e-06,2.27,13.3,6.88
49,3.6e-05,0.0030908571428571,3.0285714285714288e-05,2.31,13.4,6.8
0,3.6e-05,0.0030908571428571,5.8571428571428575e-05,2.99,18.0,8.72
1,3.6e-05,0.0030908571428571,8.685714285714286e-05,3.68,22.8,9.89
2,3.6e-05,0.0030908571428571,0.0001151428571428,2.44,14.5,7.04
3,3.6e-05,0.0030908571428571,0.0001434285714285,2.71,15.1,7.96
4,3.6e-05,0.0030908571428571,0.0001717142857142,3.42,17.8,9.63
5,3.6e-05,0.0030908571428571,0.0002,2.54,13.3,7.49
6,3.6e-05,0.0036,2.0000000000000003e-06,2.27,13.6,7.8
7,3.6e-05,0.0036,3.0285714285714288e-05,2.11,12.3,6.99
8,3.6e-05,0.0036,5.8571428571428575e-05,1.81,10.2,6.33
9,3.6e-05,0.0036,8.685714285714286e-05,2.17,12.3,7.46
10,3.6e-05,0.0036,0.0001151428571428,2.19,12.5,7.34
11,3.6e-05,0.0036,0.0001434285714285,2.22,12.7,7.5
12,3.6e-05,0.0036,0.0001717142857142,3.64,22.8,11.6
13,3.6e-05,0.0036,0.0002,2.75,16.5,8.99
14,0.0005451428571428,3.6e-05,2.0000000000000003e-06,3.73,21.4,2.58
15,0.0005451428571428,3.6e-05,3.0285714285714288e-05,3.82,19.7,2.63
16,0.0005451428571428,3.6e-05,5.8571428571428575e-05,3.8,21.3,2.63
17,0.0005451428571428,3.6e-05,8.685714285714286e-05,3.87,22.4,2.96
18,0.0005451428571428,3.6e-05,0.0001151428571428,3.74,19.0,2.71
19,0.0005451428571428,3.6e-05,0.0001434285714285,3.87,19.7,3.18
20,0.0005451428571428,3.6e-05,0.0001717142857142,3.86,21.9,3.01
21,0.0005451428571428,3.6e-05,0.0002,4.03,23.2,3.3
22,0.0005451428571428,0.0005451428571428,2.0000000000000003e-06,3.34,20.1,4.7
23,0.0005451428571428,0.0005451428571428,3.0285714285714288e-05,3.21,19.2,3.85
24,0.0005451428571428,0.0005451428571428,5.8571428571428575e-05,3.11,18.8,3.37
25,0.0005451428571428,0.0005451428571428,8.685714285714286e-05,3.18,18.3,3.92
26,0.0005451428571428,0.0005451428571428,0.0001151428571428,3.17,17.0,3.46
27,0.0005451428571428,0.0005451428571428,0.0001434285714285,3.33,18.3,3.54
28,0.0005451428571428,0.0005451428571428,0.0001717142857142,3.38,20.0,4.62
29,0.0005451428571428,0.0005451428571428,0.0002,3.31,17.7,3.52
30,0.0005451428571428,0.0010542857142857,2.0000000000000003e-06,2.77,15.8,4.64
31,0.0005451428571428,0.0010542857142857,3.0285714285714288e-05,2.8,15.8,4.71
32,0.0005451428571428,0.0010542857142857,5.8571428571428575e-05,2.69,15.0,4.52
33,0.0005451428571428,0.0010542857142857,8.685714285714286e-05,3.55,19.8,6.71
34,0.0005451428571428,0.0010542857142857,0.0001151428571428,2.9,16.0,4.46
35,0.0005451428571428,0.0010542857142857,0.0001434285714285,3.74,22.2,6.62
36,0.0005451428571428,0.0010542857142857,0.0001717142857142,3.1,17.9,5.21
37,0.0005451428571428,0.0010542857142857,0.0002,3.07,17.8,4.93
38,0.0005451428571428,0.0015634285714285,2.0000000000000003e-06,2.71,16.4,6.23
39,0.0005451428571428,0.0015634285714285,3.0285714285714288e-05,2.51,14.1,5.51
40,0.0005451428571428,0.0015634285714285,5.8571428571428575e-05,2.87,16.9,6.56
41,0.0005451428571428,0.0015634285714285,8.685714285714286e-05,2.41,14.7,4.84
42,0.0005451428571428,0.0015634285714285,0.0001151428571428,2.26,12.6,4.16
43,0.0005451428571428,0.0015634285714285,0.0001434285714285,2.34,12.9,4.29
44,0.0005451428571428,0.0015634285714285,0.0001717142857142,2.37,12.2,4.66
45,0.0005451428571428,0.0015634285714285,0.0002,2.49,13.1,4.89
46,0.0005451428571428,0.0020725714285714,2.0000000000000003e-06,2.58,15.6,7.11
47,0.0005451428571428,0.0020725714285714,3.0285714285714288e-05,2.47,14.9,6.32
48,0.0005451428571428,0.0020725714285714,5.8571428571428575e-05,2.39,13.9,6.22
49,0.0005451428571428,0.0020725714285714,8.685714285714286e-05,3.21,19.7,8.04
0,0.0005451428571428,0.0020725714285714,0.0001151428571428,2.62,15.4,6.3
1,0.0005451428571428,0.0020725714285714,0.0001434285714285,2.31,12.3,5.67
2,0.0005451428571428,0.0020725714285714,0.0001717142857142,2.2,12.2,5.3
3,0.0005451428571428,0.0020725714285714,0.0002,2.26,12.0,4.96
4,0.0005451428571428,0.0025817142857142,2.0000000000000003e-06,2.2,13.1,6.27
5,0.0005451428571428,0.0025817142857142,3.0285714285714288e-05,2.19,12.7,5.72
6,0.0005451428571428,0.0025817142857142,5.8571428571428575e-05,2.06,11.8,5.46
7,0.0005451428571428,0.0025817142857142,8.685714285714286e-05,3.2,19.1,8.61
8,0.0005451428571428,0.0025817142857142,0.0001151428571428,2.17,12.2,5.41
9,0.0005451428571428,0.0025817142857142,0.0001434285714285,2.25,13.1,6.26
10,0.0005451428571428,0.0025817142857142,0.0001717142857142,2.1,11.7,5.4
11,0.0005451428571428,0.0025817142857142,0.0002,2.28,12.9,6.24
12,0.0005451428571428,0.0030908571428571,2.0000000000000003e-06,2.09,12.4,6.09
13,0.0005451428571428,0.0030908571428571,3.0285714285714288e-05,2.23,13.2,6.67
14,0.0005451428571428,0.0030908571428571,5.8571428571428575e-05,2.26,13.1,6.87
15,0.0005451428571428,0.0030908571428571,8.685714285714286e-05,2.56,15.3,7.38
16,0.0005451428571428,0.0030908571428571,0.0001151428571428,2.4,14.9,6.91
17,0.0005451428571428,0.0030908571428571,0.0001434285714285,1.96,11.5,5.6
18,0.0005451428571428,0.0030908571428571,0.0001717142857142,1.99,11.8,5.79
19,0.0005451428571428,0.0030908571428571,0.0002,1.98,10.8,5.51
20,0.0005451428571428,0.0036,2.0000000000000003e-06,2.31,14.3,7.75
21,0.0005451428571428,0.0036,3.0285714285714288e-05,2.01,12.1,6.74
22,0.0005451428571428,0.0036,5.8571428571428575e-05,2.28,13.7,7.92
23,0.0005451428571428,0.0036,8.685714285714286e-05,1.92,11.2,6.58
24,0.0005451428571428,0.0036,0.0001151428571428,1.85,10.7,6.29
25,0.0005451428571428,0.0036,0.0001434285714285,1.86,11.0,6.66
26,0.0005451428571428,0.0036,0.0001717142857142,1.95,11.4,6.6
27,0.0005451428571428,0.0036,0.0002,2.47,13.9,8.64
28,0.0010542857142857,3.6e-05,2.0000000000000003e-06,3.63,21.3,2.58
29,0.0010542857142857,3.6e-05,3.0285714285714288e-05,3.62,21.4,2.53
30,0.0010542857142857,3.6e-05,5.8571428571428575e-05,3.7,21.5,2.48
31,0.0010542857142857,3.6e-05,8.685714285714286e-05,3.73,21.7,3.07
32,0.0010542857142857,3.6e-05,0.0001151428571428,3.77,20.1,3.04
33,0.0010542857142857,3.6e-05,0.0001434285714285,3.84,20.3,2.46
34,0.0010542857142857,3.6e-05,0.0001717142857142,3.98,21.5,2.9
35,0.0010542857142857,3.6e-05,0.0002,3.79,20.6,2.57
36,0.0010542857142857,0.0005451428571428,2.0000000000000003e-06,2.99,17.1,3.1
37,0.0010542857142857,0.0005451428571428,3.0285714285714288e-05,2.94,17.1,3.2
38,0.0010542857142857,0.0005451428571428,5.8571428571428575e-05,3.15,18.1,3.45
39,0.0010542857142857,0.0005451428571428,8.685714285714286e-05,3.15,18.3,3.17
40,0.0010542857142857,0.0005451428571428,0.0001151428571428,3.11,17.5,3.26
41,0.0010542857142857,0.0005451428571428,0.0001434285714285,3.09,17.5,3.45
42,0.0010542857142857,0.0005451428571428,0.0001717142857142,3.1,16.9,2.79
43,0.0010542857142857,0.0005451428571428,0.0002,3.12,18.0,3.42
44,0.0010542857142857,0.0010542857142857,2.0000000000000003e-06,2.56,14.7,3.86
45,0.0010542857142857,0.0010542857142857,3.0285714285714288e-05,2.74,16.6,4.96
46,0.0010542857142857,0.0010542857142857,5.8571428571428575e-05,2.6,14.5,3.6
47,0.0010542857142857,0.0010542857142857,8.685714285714286e-05,2.69,14.9,3.73
48,0.0010542857142857,0.0010542857142857,0.0001151428571428,2.61,15.4,4.02
49,0.0010542857142857,0.0010542857142857,0.0001434285714285,2.85,16.1,4.35
0,0.0010542857142857,0.0010542857142857,0.0001717142857142,2.77,15.6,4.28
1,0.0010542857142857,0.0010542857142857,0.0002,3.11,18.3,5.41
2,0.0010542857142857,0.0015634285714285,2.0000000000000003e-06,2.23,13.3,4.42
3,0.0010542857142857,0.0015634285714285,3.0285714285714288e-05,2.34,14.2,4.77
4,0.0010542857142857,0.0015634285714285,5.8571428571428575e-05,2.47,15.9,5.39
5,0.0010542857142857,0.0015634285714285,8.685714285714286e-05,2.38,13.8,4.8
6,0.0010542857142857,0.0015634285714285,0.0001151428571428,2.35,12.6,4.07
7,0.0010542857142857,0.0015634285714285,0.0001434285714285,2.25,12.7,4.08
8,0.0010542857142857,0.0015634285714285,0.0001717142857142,2.34,13.3,4.24
9,0.0010542857142857,0.0015634285714285,0.0002,2.35,12.8,4.12
10,0.0010542857142857,0.0020725714285714,2.0000000000000003e-06,2.21,13.5,5.59
11,0.0010542857142857,0.0020725714285714,3.0285714285714288e-05,2.17,13.0,5.11
12,0.0010542857142857,0.0020725714285714,5.8571428571428575e-05,2.26,14.2,5.48
13,0.0010542857142857,0.0020725714285714,8.685714285714286e-05,2.26,14.2,5.68
14,0.0010542857142857,0.0020725714285714,0.0001151428571428,2.32,14.4,5.34
15,0.0010542857142857,0.0020725714285714,0.0001434285714285,2.11,12.5,4.47
16,0.0010542857142857,0.0020725714285714,0.0001717142857142,2.16,12.3,4.88
17,0.0010542857142857,0.0020725714285714,0.0002,2.39,13.9,5.33
18,0.0010542857142857,0.0025817142857142,2.0000000000000003e-06,2.04,12.0,5.7
19,0.0010542857142857,0.0025817142857142,3.0285714285714288e-05,2.23,14.0,6.28
20,0.0010542857142857,0.0025817142857142,5.8571428571428575e-05,2.06,12.2,5.67
21,0.0010542857142857,0.0025817142857142,8.685714285714286e-05,2.01,11.6,5.4
22,0.0010542857142857,0.0025817142857142,0.0001151428571428,2.11,11.8,5.95
23,0.0010542857142857,0.0025817142857142,0.0001434285714285,1.9,11.2,4.67
24,0.0010542857142857,0.0025817142857142,0.0001717142857142,2.03,11.6,4.87
25,0.0010542857142857,0.0025817142857142,0.0002,2.09,11.6,5.42
26,0.0010542857142857,0.0030908571428571,2.0000000000000003e-06,1.85,10.8,5.57
27,0.0010542857142857,0.0030908571428571,3.0285714285714288e-05,1.93,11.5,5.5
28,0.0010542857142857,0.0030908571428571,5.8571428571428575e-05,2.43,14.4,7.22
29,0.0010542857142857,0.0030908571428571,8.685714285714286e-05,1.74,10.5,5.09
30,0.0010542857142857,0.0030908571428571,0.0001151428571428,1.75,9.72,4.8
31,0.0010542857142857,0.0030908571428571,0.0001434285714285,1.82,10.0,4.92
32,0.0010542857142857,0.0030908571428571,0.0001717142857142,1.82,10.6,4.97
33,0.0010542857142857,0.0030908571428571,0.0002,1.96,11.6,5.62
34,0.0010542857142857,0.0036,2.0000000000000003e-06,2.08,12.9,7.05
35,0.0010542857142857,0.0036,3.0285714285714288e-05,1.95,11.9,6.75
36,0.0010542857142857,0.0036,5.8571428571428575e-05,1.78,10.7,6.42
37,0.0010542857142857,0.0036,8.685714285714286e-05,1.59,9.13,5.51
38,0.0010542857142857,0.0036,0.0001151428571428,2.06,12.6,7.06
39,0.0010542857142857,0.0036,0.0001434285714285,2.12,13.0,7.03
40,0.0010542857142857,0.0036,0.0001717142857142,2.03,12.1,7.25
41,0.0010542857142857,0.0036,0.0002,3.43,20.3,10.8
42,0.0015634285714285,3.6e-05,2.0000000000000003e-06,3.69,20.9,2.3
43,0.0015634285714285,3.6e-05,3.0285714285714288e-05,3.63,18.5,2.34
44,0.0015634285714285,3.6e-05,5.8571428571428575e-05,3.75,20.8,2.38
45,0.0015634285714285,3.6e-05,8.685714285714286e-05,3.72,20.9,2.44
46,0.0015634285714285,3.6e-05,0.0001151428571428,3.6,19.4,2.56
47,0.0015634285714285,3.6e-05,0.0001434285714285,3.66,18.2,2.54
48,0.0015634285714285,3.6e-05,0.0001717142857142,3.76,21.1,2.86
49,0.0015634285714285,3.6e-05,0.0002,3.62,17.5,2.53
0,0.0015634285714285,0.0005451428571428,2.0000000000000003e-06,2.91,16.2,2.75
1,0.0015634285714285,0.0005451428571428,3.0285714285714288e-05,2.95,17.6,2.85
2,0.0015634285714285,0.0005451428571428,5.8571428571428575e-05,3.08,18.0,3.38
3,0.0015634285714285,0.0005451428571428,8.685714285714286e-05,3.01,16.7,2.95
4,0.0015634285714285,0.0005451428571428,0.0001151428571428,2.9,16.2,3.02
5,0.0015634285714285,0.0005451428571428,0.0001434285714285,3.04,15.3,3.09
6,0.0015634285714285,0.0005451428571428,0.0001717142857142,3.02,16.8,2.88
7,0.0015634285714285,0.0005451428571428,0.0002,3.1,16.9,3.6
8,0.0015634285714285,0.0010542857142857,2.0000000000000003e-06,2.54,15.3,3.56
9,0.0015634285714285,0.0010542857142857,3.0285714285714288e-05,2.5,15.3,3.54
10,0.0015634285714285,0.0010542857142857,5.8571428571428575e-05,2.46,14.3,3.41
11,0.0015634285714285,0.0010542857142857,8.685714285714286e-05,2.67,15.2,4.13
12,0.0015634285714285,0.0010542857142857,0.0001151428571428,2.73,16.3,4.01
13,0.0015634285714285,0.0010542857142857,0.0001434285714285,2.82,15.8,4.65
14,0.0015634285714285,0.0010542857142857,0.0001717142857142,2.76,16.9,4.0
15,0.0015634285714285,0.0010542857142857,0.0002,2.67,16.4,3.73
16,0.0015634285714285,0.0015634285714285,2.0000000000000003e-06,2.31,14.0,4.76
17,0.0015634285714285,0.0015634285714285,3.0285714285714288e-05,2.15,11.8,3.76
18,0.0015634285714285,0.0015634285714285,5.8571428571428575e-05,2.18,12.3,3.99
19,0.0015634285714285,0.0015634285714285,8.685714285714286e-05,2.35,14.3,4.83
20,0.0015634285714285,0.0015634285714285,0.0001151428571428,2.43,15.0,4.98
21,0.0015634285714285,0.0015634285714285,0.0001434285714285,2.32,12.6,4.38
22,0.0015634285714285,0.0015634285714285,0.0001717142857142,2.42,14.9,4.85
23,0.0015634285714285,0.0015634285714285,0.0002,2.37,13.7,3.97
24,0.0015634285714285,0.0020725714285714,2.0000000000000003e-06,2.05,11.9,4.78
25,0.0015634285714285,0.0020725714285714,3.0285714285714288e-05,2.02,12.2,4.67
26,0.0015634285714285,0.0020725714285714,5.8571428571428575e-05,1.99,11.3,4.41
27,0.0015634285714285,0.0020725714285714,8.685714285714286e-05,2.1,12.0,4.54
28,0.0015634285714285,0.0020725714285714,0.0001151428571428,2.19,13.0,5.17
29,0.0015634285714285,0.0020725714285714,0.0001434285714285,2.14,12.0,4.87
30,0.0015634285714285,0.0020725714285714,0.0001717142857142,2.13,12.8,4.82
31,0.0015634285714285,0.0020725714285714,0.0002,2.31,13.6,5.17
32,0.0015634285714285,0.0025817142857142,2.0000000000000003e-06,1.94,11.7,5.33
33,0.0015634285714285,0.0025817142857142,3.0285714285714288e-05,1.93,12.3,4.96
34,0.0015634285714285,0.0025817142857142,5.8571428571428575e-05,1.84,10.4,4.57
35,0.0015634285714285,0.0025817142857142,8.685714285714286e-05,2.01,11.4,5.42
36,0.0015634285714285,0.0025817142857142,0.0001151428571428,2.05,12.1,5.24
37,0.0015634285714285,0.0025817142857142,0.0001434285714285,2.15,10.9,5.5
38,0.0015634285714285,0.0025817142857142,0.0001717142857142,1.94,11.7,4.95
39,0.0015634285714285,0.0025817142857142,0.0002,1.99,11.6,4.82
40,0.0015634285714285,0.0030908571428571,2.0000000000000003e-06,1.77,10.1,5.25
41,0.0015634285714285,0.0030908571428571,3.0285714285714288e-05,1.81,10.6,5.21
42,0.0015634285714285,0.0030908571428571,5.8571428571428575e-05,1.74,10.4,5.09
43,0.0015634285714285,0.0030908571428571,8.685714285714286e-05,1.75,10.3,4.85
44,0.0015634285714285,0.0030908571428571,0.0001151428571428,1.96,11.9,5.79
45,0.0015634285714285,0.0030908571428571,0.0001434285714285,1.76,9.42,4.73
46,0.0015634285714285,0.0030908571428571,0.0001717142857142,1.96,11.4,5.79
47,0.0015634285714285,0.0030908571428571,0.0002,1.86,10.8,4.92
48,0.0015634285714285,0.0036,2.0000000000000003e-06,1.73,9.82,5.86
49,0.0015634285714285,0.0036,3.0285714285714288e-05,1.55,9.23,5.42
0,0.0015634285714285,0.0036,5.8571428571428575e-05,1.69,10.4,5.82
1,0.0015634285714285,0.0036,8.685714285714286e-05,2.25,14.0,7.32
2,0.0015634285714285,0.0036,0.0001151428571428,2.35,13.9,7.66
3,0.0015634285714285,0.0036,0.0001434285714285,1.97,11.1,6.93
