Unnamed: 0,netParams.connParams.PYR->BC_NMDA.weight,netParams.connParams.PYR->OLM_NMDA.weight,netParams.connParams.PYR->PYR_NMDA.weight,PYR,BC,OLM
0,0.000138,7e-05,4e-07,10.2,15.6,2.75
1,0.000138,7e-05,6.057142857142856e-06,11.4,17.7,2.31
2,0.000138,7e-05,1.1714285714285711e-05,10.9,17.8,3.32
3,0.000138,7e-05,1.7371428571428566e-05,10.8,16.8,3.4
4,0.000138,7e-05,2.3028571428571423e-05,10.9,16.8,3.79
5,0.000138,7e-05,2.868571428571428e-05,10.8,16.4,3.98
6,0.000138,7e-05,3.4342857142857136e-05,11.5,17.8,3.4
7,0.000138,7e-05,4e-05,11.5,17.9,3.9
8,0.000138,0.00106,4e-07,3.88,6.35,6.77
9,0.000138,0.00106,6.057142857142856e-06,4.12,6.6,7.36
10,0.000138,0.00106,1.1714285714285711e-05,4.06,6.79,7.13
11,0.000138,0.00106,1.7371428571428566e-05,4.17,6.97,7.38
12,0.000138,0.00106,2.3028571428571423e-05,4.21,6.64,7.37
13,0.000138,0.00106,2.868571428571428e-05,4.25,6.59,7.44
14,0.000138,0.00106,3.4342857142857136e-05,4.37,6.8,7.69
15,0.000138,0.00106,4e-05,4.38,6.51,7.78
16,0.000138,0.00205,4e-07,3.58,6.55,9.56
17,0.000138,0.00205,6.057142857142856e-06,3.64,6.02,9.44
18,0.000138,0.00205,1.1714285714285711e-05,3.71,6.2,9.48
19,0.000138,0.00205,1.7371428571428566e-05,3.69,6.68,9.77
20,0.000138,0.00205,2.3028571428571423e-05,3.93,6.54,9.79
21,0.000138,0.00205,2.868571428571428e-05,3.93,6.54,9.79
22,0.000138,0.00205,3.4342857142857136e-05,3.94,6.75,9.98
23,0.000138,0.00205,4e-05,3.95,6.77,10.3
24,0.000138,0.00304,4e-07,2.69,5.43,9.78
25,0.000138,0.00304,6.057142857142856e-06,2.84,5.79,10.3
26,0.000138,0.00304,1.1714285714285711e-05,2.77,5.35,10.1
27,0.000138,0.00304,1.7371428571428566e-05,2.83,5.94,10.3
28,0.000138,0.00304,2.3028571428571423e-05,2.89,5.95,10.4
29,0.000138,0.00304,2.868571428571428e-05,2.86,6.11,10.3
30,0.000138,0.00304,3.4342857142857136e-05,2.89,5.9,10.5
31,0.000138,0.00304,4e-05,2.94,6.08,10.6
32,0.000138,0.00403,4e-07,2.0,2.06,9.16
33,0.000138,0.00403,6.057142857142856e-06,2.29,4.28,10.5
34,0.000138,0.00403,1.1714285714285711e-05,2.38,4.8,11.0
35,0.000138,0.00403,1.7371428571428566e-05,2.37,4.65,10.9
36,0.000138,0.00403,2.3028571428571423e-05,2.39,4.74,11.1
37,0.000138,0.00403,2.868571428571428e-05,2.33,4.41,10.8
38,0.000138,0.00403,3.4342857142857136e-05,2.44,4.66,11.1
39,0.000138,0.00403,4e-05,2.46,4.97,11.3
40,0.000138,0.0050199999999999,4e-07,1.79,2.54,9.79
41,0.000138,0.0050199999999999,6.057142857142856e-06,1.45,1.08,7.97
42,0.000138,0.0050199999999999,1.1714285714285711e-05,1.67,1.62,9.63
43,0.000138,0.0050199999999999,1.7371428571428566e-05,1.51,1.13,8.15
44,0.000138,0.0050199999999999,2.3028571428571423e-05,1.76,1.79,9.74
45,0.000138,0.0050199999999999,2.868571428571428e-05,1.74,1.99,9.56
46,0.000138,0.0050199999999999,3.4342857142857136e-05,1.86,2.56,10.4
47,0.000138,0.0050199999999999,4e-05,1.81,2.13,9.82
48,0.000138,0.00601,4e-07,1.57,1.54,9.95
49,0.000138,0.00601,6.057142857142856e-06,1.36,1.08,8.73
0,0.000138,0.00601,1.1714285714285711e-05,1.55,1.44,9.87
1,0.000138,0.00601,1.7371428571428566e-05,1.58,1.4,9.99
2,0.000138,0.00601,2.3028571428571423e-05,1.56,1.38,9.94
3,0.000138,0.00601,2.868571428571428e-05,1.62,1.54,10.3
4,0.000138,0.00601,3.4342857142857136e-05,1.6,1.36,10.2
5,0.000138,0.00601,4e-05,1.57,1.44,9.95
6,0.000138,0.007,4e-07,1.48,1.23,10.2
7,0.000138,0.007,6.057142857142856e-06,1.37,1.11,9.53
8,0.000138,0.007,1.1714285714285711e-05,1.4,1.18,9.79
9,0.000138,0.007,1.7371428571428566e-05,1.4,1.14,9.4
10,0.000138,0.007,2.3028571428571423e-05,1.4,1.16,9.78
11,0.000138,0.007,2.868571428571428e-05,1.38,1.09,9.48
12,0.000138,0.007,3.4342857142857136e-05,1.44,1.16,9.99
13,0.000138,0.007,4e-05,1.36,1.07,9.45
14,0.0020897142857142,7e-05,4e-07,5.17,29.9,0.815
15,0.0020897142857142,7e-05,6.057142857142856e-06,5.19,29.9,0.825
16,0.0020897142857142,7e-05,1.1714285714285711e-05,5.2,30.0,0.85
17,0.0020897142857142,7e-05,1.7371428571428566e-05,5.2,30.2,0.845
18,0.0020897142857142,7e-05,2.3028571428571423e-05,5.27,30.2,0.86
19,0.0020897142857142,7e-05,2.868571428571428e-05,5.3,30.4,0.885
20,0.0020897142857142,7e-05,3.4342857142857136e-05,5.27,30.1,0.89
21,0.0020897142857142,7e-05,4e-05,5.28,29.8,0.895
22,0.0020897142857142,0.00106,4e-07,2.6,18.9,3.67
23,0.0020897142857142,0.00106,6.057142857142856e-06,2.55,18.6,3.83
24,0.0020897142857142,0.00106,1.1714285714285711e-05,2.66,19.2,3.62
25,0.0020897142857142,0.00106,1.7371428571428566e-05,2.58,17.7,3.36
26,0.0020897142857142,0.00106,2.3028571428571423e-05,2.6,18.4,3.74
27,0.0020897142857142,0.00106,2.868571428571428e-05,2.71,19.8,4.29
28,0.0020897142857142,0.00106,3.4342857142857136e-05,2.79,20.0,4.57
29,0.0020897142857142,0.00106,4e-05,2.62,18.8,3.92
30,0.0020897142857142,0.00205,4e-07,2.04,15.5,5.7
31,0.0020897142857142,0.00205,6.057142857142856e-06,1.96,14.7,5.34
32,0.0020897142857142,0.00205,1.1714285714285711e-05,1.96,14.8,5.21
33,0.0020897142857142,0.00205,1.7371428571428566e-05,1.98,15.0,5.43
34,0.0020897142857142,0.00205,2.3028571428571423e-05,1.92,14.9,5.11
35,0.0020897142857142,0.00205,2.868571428571428e-05,2.08,15.8,5.54
36,0.0020897142857142,0.00205,3.4342857142857136e-05,2.17,16.5,6.21
37,0.0020897142857142,0.00205,4e-05,1.89,13.7,5.05
38,0.0020897142857142,0.00304,4e-07,1.85,15.8,6.74
39,0.0020897142857142,0.00304,6.057142857142856e-06,1.54,12.1,5.74
40,0.0020897142857142,0.00304,1.1714285714285711e-05,1.46,11.9,5.37
41,0.0020897142857142,0.00304,1.7371428571428566e-05,1.56,12.8,5.47
42,0.0020897142857142,0.00304,2.3028571428571423e-05,1.76,14.5,6.41
43,0.0020897142857142,0.00304,2.868571428571428e-05,1.65,13.3,6.01
44,0.0020897142857142,0.00304,3.4342857142857136e-05,1.76,13.3,6.16
45,0.0020897142857142,0.00304,4e-05,1.72,13.4,5.88
46,0.0020897142857142,0.00403,4e-07,1.51,12.2,7.27
47,0.0020897142857142,0.00403,6.057142857142856e-06,1.43,12.0,6.96
48,0.0020897142857142,0.00403,1.1714285714285711e-05,1.98,16.6,9.05
49,0.0020897142857142,0.00403,1.7371428571428566e-05,1.48,12.2,6.74
0,0.0020897142857142,0.00403,2.3028571428571423e-05,1.31,10.9,6.33
1,0.0020897142857142,0.00403,2.868571428571428e-05,1.43,11.9,6.88
2,0.0020897142857142,0.00403,3.4342857142857136e-05,1.36,11.2,6.33
3,0.0020897142857142,0.00403,4e-05,1.37,11.3,6.54
4,0.0020897142857142,0.0050199999999999,4e-07,1.25,10.7,7.04
5,0.0020897142857142,0.0050199999999999,6.057142857142856e-06,1.26,10.8,6.88
6,0.0020897142857142,0.0050199999999999,1.1714285714285711e-05,1.27,10.8,6.86
7,0.0020897142857142,0.0050199999999999,1.7371428571428566e-05,1.26,10.6,6.8
8,0.0020897142857142,0.0050199999999999,2.3028571428571423e-05,1.29,11.1,7.17
9,0.0020897142857142,0.0050199999999999,2.868571428571428e-05,1.33,11.0,7.5
10,0.0020897142857142,0.0050199999999999,3.4342857142857136e-05,1.3,10.9,6.92
11,0.0020897142857142,0.0050199999999999,4e-05,1.35,11.0,7.62
12,0.0020897142857142,0.00601,4e-07,1.32,10.9,8.05
13,0.0020897142857142,0.00601,6.057142857142856e-06,1.39,11.6,8.7
14,0.0020897142857142,0.00601,1.1714285714285711e-05,1.38,11.8,8.58
15,0.0020897142857142,0.00601,1.7371428571428566e-05,1.35,11.3,8.3
16,0.0020897142857142,0.00601,2.3028571428571423e-05,1.32,11.4,8.3
17,0.0020897142857142,0.00601,2.868571428571428e-05,1.33,11.2,8.18
18,0.0020897142857142,0.00601,3.4342857142857136e-05,1.35,11.3,8.54
19,0.0020897142857142,0.00601,4e-05,1.37,11.4,8.64
20,0.0020897142857142,0.007,4e-07,1.29,11.0,8.94
21,0.0020897142857142,0.007,6.057142857142856e-06,1.3,11.1,9.06
22,0.0020897142857142,0.007,1.1714285714285711e-05,1.3,11.1,8.93
23,0.0020897142857142,0.007,1.7371428571428566e-05,1.41,12.2,9.81
24,0.0020897142857142,0.007,2.3028571428571423e-05,1.35,11.4,9.6
25,0.0020897142857142,0.007,2.868571428571428e-05,1.45,12.5,9.97
26,0.0020897142857142,0.007,3.4342857142857136e-05,1.51,12.8,10.4
27,0.0020897142857142,0.007,4e-05,1.48,12.3,10.2
28,0.0040414285714285,7e-05,4e-07,12.6,1.0,4.43
29,0.0040414285714285,7e-05,6.057142857142856e-06,12.9,1.0,4.6
30,0.0040414285714285,7e-05,1.1714285714285711e-05,12.9,1.0,4.9
31,0.0040414285714285,7e-05,1.7371428571428566e-05,13.2,1.0,5.17
32,0.0040414285714285,7e-05,2.3028571428571423e-05,13.5,1.0,5.42
33,0.0040414285714285,7e-05,2.868571428571428e-05,13.8,1.0,5.54
34,0.0040414285714285,7e-05,3.4342857142857136e-05,14.1,1.0,6.08
35,0.0040414285714285,7e-05,4e-05,14.6,1.0,5.91
36,0.0040414285714285,0.00106,4e-07,5.54,1.0,8.79
37,0.0040414285714285,0.00106,6.057142857142856e-06,5.68,1.0,8.88
38,0.0040414285714285,0.00106,1.1714285714285711e-05,5.75,1.0,8.9
39,0.0040414285714285,0.00106,1.7371428571428566e-05,5.88,1.0,8.95
40,0.0040414285714285,0.00106,2.3028571428571423e-05,6.04,1.0,8.98
41,0.0040414285714285,0.00106,2.868571428571428e-05,5.98,1.0,8.95
42,0.0040414285714285,0.00106,3.4342857142857136e-05,6.13,1.0,8.96
43,0.0040414285714285,0.00106,4e-05,6.34,1.0,9.02
44,0.0040414285714285,0.00205,4e-07,1.95,10.3,5.28
45,0.0040414285714285,0.00205,6.057142857142856e-06,1.96,9.75,5.15
46,0.0040414285714285,0.00205,1.1714285714285711e-05,2.28,7.8,6.42
47,0.0040414285714285,0.00205,1.7371428571428566e-05,1.96,9.83,5.2
48,0.0040414285714285,0.00205,2.3028571428571423e-05,2.03,9.98,5.11
49,0.0040414285714285,0.00205,2.868571428571428e-05,3.77,1.0,9.82
0,0.0040414285714285,0.00205,3.4342857142857136e-05,3.86,1.0,9.97
1,0.0040414285714285,0.00205,4e-05,3.92,1.0,10.1
2,0.0040414285714285,0.00304,4e-07,1.42,9.6,5.17
3,0.0040414285714285,0.00304,6.057142857142856e-06,1.42,8.78,5.21
4,0.0040414285714285,0.00304,1.1714285714285711e-05,1.43,8.96,5.18
5,0.0040414285714285,0.00304,1.7371428571428566e-05,1.46,9.43,5.2
6,0.0040414285714285,0.00304,2.3028571428571423e-05,1.46,9.26,5.28
7,0.0040414285714285,0.00304,2.868571428571428e-05,1.47,9.61,5.26
8,0.0040414285714285,0.00304,3.4342857142857136e-05,1.44,8.95,5.09
9,0.0040414285714285,0.00304,4e-05,1.42,8.71,5.12
10,0.0040414285714285,0.00403,4e-07,1.2,7.75,5.71
11,0.0040414285714285,0.00403,6.057142857142856e-06,1.23,8.08,5.75
12,0.0040414285714285,0.00403,1.1714285714285711e-05,1.24,8.18,5.64
13,0.0040414285714285,0.00403,1.7371428571428566e-05,1.2,7.61,5.67
14,0.0040414285714285,0.00403,2.3028571428571423e-05,1.26,7.99,5.89
15,0.0040414285714285,0.00403,2.868571428571428e-05,1.27,8.14,6.07
16,0.0040414285714285,0.00403,3.4342857142857136e-05,1.24,7.83,5.8
17,0.0040414285714285,0.00403,4e-05,1.26,7.84,5.63
18,0.0040414285714285,0.0050199999999999,4e-07,1.13,7.59,6.19
19,0.0040414285714285,0.0050199999999999,6.057142857142856e-06,1.17,7.79,6.55
20,0.0040414285714285,0.0050199999999999,1.1714285714285711e-05,1.21,8.58,6.61
21,0.0040414285714285,0.0050199999999999,1.7371428571428566e-05,1.24,8.71,6.62
22,0.0040414285714285,0.0050199999999999,2.3028571428571423e-05,1.17,7.59,6.61
23,0.0040414285714285,0.0050199999999999,2.868571428571428e-05,1.16,7.52,6.38
24,0.0040414285714285,0.0050199999999999,3.4342857142857136e-05,1.18,7.58,6.36
25,0.0040414285714285,0.0050199999999999,4e-05,1.18,7.46,6.45
26,0.0040414285714285,0.00601,4e-07,1.11,7.38,6.93
27,0.0040414285714285,0.00601,6.057142857142856e-06,1.21,8.63,7.33
28,0.0040414285714285,0.00601,1.1714285714285711e-05,1.33,9.99,8.06
29,0.0040414285714285,0.00601,1.7371428571428566e-05,1.14,7.58,7.12
30,0.0040414285714285,0.00601,2.3028571428571423e-05,1.14,7.54,6.93
31,0.0040414285714285,0.00601,2.868571428571428e-05,1.24,7.96,7.6
32,0.0040414285714285,0.00601,3.4342857142857136e-05,1.15,7.28,6.96
33,0.0040414285714285,0.00601,4e-05,1.18,7.49,7.25
34,0.0040414285714285,0.007,4e-07,1.11,8.14,7.78
35,0.0040414285714285,0.007,6.057142857142856e-06,1.11,7.65,7.84
36,0.0040414285714285,0.007,1.1714285714285711e-05,1.14,7.77,7.83
37,0.0040414285714285,0.007,1.7371428571428566e-05,1.12,7.37,7.68
38,0.0040414285714285,0.007,2.3028571428571423e-05,1.11,7.16,7.64
39,0.0040414285714285,0.007,2.868571428571428e-05,1.12,7.08,7.88
40,0.0040414285714285,0.007,3.4342857142857136e-05,1.18,7.95,8.31
41,0.0040414285714285,0.007,4e-05,1.14,7.16,7.87
42,0.0059931428571428,7e-05,4e-07,12.8,1.0,4.41
43,0.0059931428571428,7e-05,6.057142857142856e-06,12.8,1.0,4.66
44,0.0059931428571428,7e-05,1.1714285714285711e-05,13.2,1.0,4.96
45,0.0059931428571428,7e-05,1.7371428571428566e-05,13.3,1.0,5.09
46,0.0059931428571428,7e-05,2.3028571428571423e-05,13.6,1.0,5.45
47,0.0059931428571428,7e-05,2.868571428571428e-05,14.0,1.0,5.75
48,0.0059931428571428,7e-05,3.4342857142857136e-05,14.3,1.0,6.05
49,0.0059931428571428,7e-05,4e-05,14.7,1.0,6.24
0,0.0059931428571428,0.00106,4e-07,5.49,1.0,8.78
1,0.0059931428571428,0.00106,6.057142857142856e-06,5.61,1.0,8.86
2,0.0059931428571428,0.00106,1.1714285714285711e-05,5.73,1.0,8.9
3,0.0059931428571428,0.00106,1.7371428571428566e-05,5.85,1.0,8.93
4,0.0059931428571428,0.00106,2.3028571428571423e-05,6.0,1.0,9.02
5,0.0059931428571428,0.00106,2.868571428571428e-05,5.96,1.0,8.96
6,0.0059931428571428,0.00106,3.4342857142857136e-05,6.16,1.0,8.99
7,0.0059931428571428,0.00106,4e-05,6.27,1.0,8.99
8,0.0059931428571428,0.00205,4e-07,3.5,1.0,9.09
9,0.0059931428571428,0.00205,6.057142857142856e-06,3.58,1.0,9.26
10,0.0059931428571428,0.00205,1.1714285714285711e-05,3.62,1.0,9.28
11,0.0059931428571428,0.00205,1.7371428571428566e-05,3.73,1.0,9.46
12,0.0059931428571428,0.00205,2.3028571428571423e-05,3.69,1.0,9.36
13,0.0059931428571428,0.00205,2.868571428571428e-05,3.81,1.0,9.54
14,0.0059931428571428,0.00205,3.4342857142857136e-05,3.86,1.0,9.69
15,0.0059931428571428,0.00205,4e-05,3.99,1.0,9.88
16,0.0059931428571428,0.00304,4e-07,1.7,7.49,6.72
17,0.0059931428571428,0.00304,6.057142857142856e-06,1.71,6.95,6.69
18,0.0059931428571428,0.00304,1.1714285714285711e-05,1.9,7.33,7.31
19,0.0059931428571428,0.00304,1.7371428571428566e-05,1.76,7.24,6.71
20,0.0059931428571428,0.00304,2.3028571428571423e-05,2.0,7.37,7.72
21,0.0059931428571428,0.00304,2.868571428571428e-05,2.0,6.75,7.57
22,0.0059931428571428,0.00304,3.4342857142857136e-05,2.04,6.3,7.65
23,0.0059931428571428,0.00304,4e-05,1.96,6.79,7.38
24,0.0059931428571428,0.00403,4e-07,1.19,9.21,5.59
25,0.0059931428571428,0.00403,6.057142857142856e-06,1.23,9.85,5.76
26,0.0059931428571428,0.00403,1.1714285714285711e-05,1.24,9.65,5.75
27,0.0059931428571428,0.00403,1.7371428571428566e-05,1.26,9.49,5.94
28,0.0059931428571428,0.00403,2.3028571428571423e-05,1.24,9.19,5.74
29,0.0059931428571428,0.00403,2.868571428571428e-05,1.21,8.98,5.75
30,0.0059931428571428,0.00403,3.4342857142857136e-05,1.2,8.91,5.69
31,0.0059931428571428,0.00403,4e-05,1.21,9.13,5.77
32,0.0059931428571428,0.0050199999999999,4e-07,1.06,8.87,5.91
33,0.0059931428571428,0.0050199999999999,6.057142857142856e-06,1.06,8.9,5.86
34,0.0059931428571428,0.0050199999999999,1.1714285714285711e-05,1.07,9.14,5.86
35,0.0059931428571428,0.0050199999999999,1.7371428571428566e-05,1.07,8.94,5.94
36,0.0059931428571428,0.0050199999999999,2.3028571428571423e-05,1.06,8.86,5.89
37,0.0059931428571428,0.0050199999999999,2.868571428571428e-05,1.11,9.27,6.17
38,0.0059931428571428,0.0050199999999999,3.4342857142857136e-05,1.06,8.63,6.11
39,0.0059931428571428,0.0050199999999999,4e-05,1.1,8.88,6.31
40,0.0059931428571428,0.00601,4e-07,1.02,8.62,6.38
41,0.0059931428571428,0.00601,6.057142857142856e-06,1.05,9.07,6.58
42,0.0059931428571428,0.00601,1.1714285714285711e-05,1.04,8.89,6.49
43,0.0059931428571428,0.00601,1.7371428571428566e-05,1.06,8.97,6.53
44,0.0059931428571428,0.00601,2.3028571428571423e-05,1.07,9.49,6.7
45,0.0059931428571428,0.00601,2.868571428571428e-05,1.08,8.91,6.63
46,0.0059931428571428,0.00601,3.4342857142857136e-05,1.1,9.09,6.87
47,0.0059931428571428,0.00601,4e-05,1.09,9.01,6.86
48,0.0059931428571428,0.007,4e-07,1.01,8.64,7.09
49,0.0059931428571428,0.007,6.057142857142856e-06,1.02,8.96,7.0
0,0.0059931428571428,0.007,1.1714285714285711e-05,1.06,9.14,7.26
1,0.0059931428571428,0.007,1.7371428571428566e-05,1.05,9.09,7.29
2,0.0059931428571428,0.007,2.3028571428571423e-05,1.02,8.3,7.25
