Unnamed: 0,netParams.connParams.PYR->BC_NMDA.weight,netParams.connParams.PYR->OLM_NMDA.weight,netParams.connParams.PYR->PYR_NMDA.weight,PYR,BC,OLM
3,0.0059931428571428,0.007,2.868571428571428e-05,1.06,8.84,7.37
4,0.0059931428571428,0.007,3.4342857142857136e-05,1.06,8.81,7.21
5,0.0059931428571428,0.007,4e-05,1.06,8.64,7.43
6,0.0079448571428571,7e-05,4e-07,13.0,1.0,4.32
7,0.0079448571428571,7e-05,6.057142857142856e-06,13.1,1.0,4.57
8,0.0079448571428571,7e-05,1.1714285714285711e-05,13.1,1.0,4.85
9,0.0079448571428571,7e-05,1.7371428571428566e-05,13.5,1.0,5.12
10,0.0079448571428571,7e-05,2.3028571428571423e-05,13.6,1.0,5.53
11,0.0079448571428571,7e-05,2.868571428571428e-05,13.9,1.0,5.66
12,0.0079448571428571,7e-05,3.4342857142857136e-05,14.2,1.0,5.92
13,0.0079448571428571,7e-05,4e-05,14.6,1.0,6.29
14,0.0079448571428571,0.00106,4e-07,5.47,1.0,8.78
15,0.0079448571428571,0.00106,6.057142857142856e-06,5.58,1.0,8.88
16,0.0079448571428571,0.00106,1.1714285714285711e-05,5.71,1.0,8.9
17,0.0079448571428571,0.00106,1.7371428571428566e-05,5.8,1.0,8.91
18,0.0079448571428571,0.00106,2.3028571428571423e-05,5.99,1.0,9.0
19,0.0079448571428571,0.00106,2.868571428571428e-05,5.91,1.0,8.94
20,0.0079448571428571,0.00106,3.4342857142857136e-05,6.08,1.0,8.97
21,0.0079448571428571,0.00106,4e-05,6.21,1.0,9.0
22,0.0079448571428571,0.00205,4e-07,3.52,1.0,9.1
23,0.0079448571428571,0.00205,6.057142857142856e-06,3.54,1.0,9.19
24,0.0079448571428571,0.00205,1.1714285714285711e-05,3.65,1.0,9.21
25,0.0079448571428571,0.00205,1.7371428571428566e-05,3.65,1.0,9.24
26,0.0079448571428571,0.00205,2.3028571428571423e-05,3.77,1.0,9.39
27,0.0079448571428571,0.00205,2.868571428571428e-05,3.8,1.0,9.58
28,0.0079448571428571,0.00205,3.4342857142857136e-05,3.88,1.0,9.62
29,0.0079448571428571,0.00205,4e-05,3.9,1.0,9.64
30,0.0079448571428571,0.00304,4e-07,2.47,1.02,9.48
31,0.0079448571428571,0.00304,6.057142857142856e-06,2.59,1.02,9.87
32,0.0079448571428571,0.00304,1.1714285714285711e-05,2.56,1.0,9.78
33,0.0079448571428571,0.00304,1.7371428571428566e-05,2.64,1.0,9.95
34,0.0079448571428571,0.00304,2.3028571428571423e-05,2.71,1.0,10.2
35,0.0079448571428571,0.00304,2.868571428571428e-05,2.74,1.0,10.3
36,0.0079448571428571,0.00304,3.4342857142857136e-05,2.77,1.0,10.5
37,0.0079448571428571,0.00304,4e-05,2.82,1.01,10.5
38,0.0079448571428571,0.00403,4e-07,1.24,9.04,5.79
39,0.0079448571428571,0.00403,6.057142857142856e-06,1.59,7.41,7.5
40,0.0079448571428571,0.00403,1.1714285714285711e-05,2.28,1.01,10.6
41,0.0079448571428571,0.00403,1.7371428571428566e-05,1.43,8.09,6.82
42,0.0079448571428571,0.00403,2.3028571428571423e-05,2.04,2.73,9.69
43,0.0079448571428571,0.00403,2.868571428571428e-05,2.33,1.01,10.7
44,0.0079448571428571,0.00403,3.4342857142857136e-05,1.64,7.28,7.91
45,0.0079448571428571,0.00403,4e-05,2.39,1.01,10.9
46,0.0079448571428571,0.0050199999999999,4e-07,1.05,9.54,5.99
47,0.0079448571428571,0.0050199999999999,6.057142857142856e-06,1.06,9.54,6.03
48,0.0079448571428571,0.0050199999999999,1.1714285714285711e-05,1.06,9.71,5.96
49,0.0079448571428571,0.0050199999999999,1.7371428571428566e-05,1.09,10.1,6.03
0,0.0079448571428571,0.0050199999999999,2.3028571428571423e-05,1.07,9.84,6.01
1,0.0079448571428571,0.0050199999999999,2.868571428571428e-05,1.1,9.48,6.17
2,0.0079448571428571,0.0050199999999999,3.4342857142857136e-05,1.12,9.84,6.05
3,0.0079448571428571,0.0050199999999999,4e-05,1.1,9.61,6.26
4,0.0079448571428571,0.00601,4e-07,1.04,9.89,6.55
5,0.0079448571428571,0.00601,6.057142857142856e-06,1.04,10.2,6.41
6,0.0079448571428571,0.00601,1.1714285714285711e-05,1.03,10.1,6.26
7,0.0079448571428571,0.00601,1.7371428571428566e-05,1.02,10.1,6.26
8,0.0079448571428571,0.00601,2.3028571428571423e-05,1.03,9.88,6.26
9,0.0079448571428571,0.00601,2.868571428571428e-05,1.02,9.54,6.33
10,0.0079448571428571,0.00601,3.4342857142857136e-05,1.03,9.09,6.62
11,0.0079448571428571,0.00601,4e-05,1.05,9.77,6.44
12,0.0079448571428571,0.007,4e-07,0.988,9.95,6.89
13,0.0079448571428571,0.007,6.057142857142856e-06,1.0,9.97,6.92
14,0.0079448571428571,0.007,1.1714285714285711e-05,0.979,9.61,6.84
15,0.0079448571428571,0.007,1.7371428571428566e-05,0.998,9.74,6.9
16,0.0079448571428571,0.007,2.3028571428571423e-05,0.983,9.44,7.0
17,0.0079448571428571,0.007,2.868571428571428e-05,1.02,9.78,7.08
18,0.0079448571428571,0.007,3.4342857142857136e-05,1.02,9.79,7.0
19,0.0079448571428571,0.007,4e-05,1.0,9.54,6.98
20,0.0098965714285714,7e-05,4e-07,12.9,1.0,4.38
21,0.0098965714285714,7e-05,6.057142857142856e-06,12.9,1.0,4.7
22,0.0098965714285714,7e-05,1.1714285714285711e-05,13.1,1.0,4.84
23,0.0098965714285714,7e-05,1.7371428571428566e-05,13.5,1.0,5.19
24,0.0098965714285714,7e-05,2.3028571428571423e-05,13.6,1.0,5.5
25,0.0098965714285714,7e-05,2.868571428571428e-05,14.1,1.0,5.59
26,0.0098965714285714,7e-05,3.4342857142857136e-05,14.4,1.0,6.0
27,0.0098965714285714,7e-05,4e-05,14.8,1.0,6.2
28,0.0098965714285714,0.00106,4e-07,5.42,1.0,8.76
29,0.0098965714285714,0.00106,6.057142857142856e-06,5.57,1.0,8.85
30,0.0098965714285714,0.00106,1.1714285714285711e-05,5.7,1.0,8.89
31,0.0098965714285714,0.00106,1.7371428571428566e-05,5.79,1.0,8.94
32,0.0098965714285714,0.00106,2.3028571428571423e-05,5.95,1.0,8.99
33,0.0098965714285714,0.00106,2.868571428571428e-05,5.9,1.0,8.94
34,0.0098965714285714,0.00106,3.4342857142857136e-05,6.04,1.0,8.96
35,0.0098965714285714,0.00106,4e-05,6.16,1.0,8.99
36,0.0098965714285714,0.00205,4e-07,3.59,1.0,9.12
37,0.0098965714285714,0.00205,6.057142857142856e-06,3.58,1.0,9.07
38,0.0098965714285714,0.00205,1.1714285714285711e-05,3.71,1.0,9.21
39,0.0098965714285714,0.00205,1.7371428571428566e-05,3.73,1.0,9.36
40,0.0098965714285714,0.00205,2.3028571428571423e-05,3.74,1.0,9.37
41,0.0098965714285714,0.00205,2.868571428571428e-05,3.75,1.0,9.4
42,0.0098965714285714,0.00205,3.4342857142857136e-05,3.84,1.0,9.47
43,0.0098965714285714,0.00205,4e-05,3.87,1.0,9.94
44,0.0098965714285714,0.00304,4e-07,2.52,1.0,9.72
45,0.0098965714285714,0.00304,6.057142857142856e-06,2.63,1.0,10.0
46,0.0098965714285714,0.00304,1.1714285714285711e-05,2.6,1.0,9.9
47,0.0098965714285714,0.00304,1.7371428571428566e-05,2.71,1.0,10.2
48,0.0098965714285714,0.00304,2.3028571428571423e-05,2.7,1.0,10.1
49,0.0098965714285714,0.00304,2.868571428571428e-05,2.76,1.0,10.3
0,0.0098965714285714,0.00304,3.4342857142857136e-05,2.71,1.0,10.2
1,0.0098965714285714,0.00304,4e-05,2.71,1.0,10.2
2,0.0098965714285714,0.00403,4e-07,2.07,1.0,9.86
3,0.0098965714285714,0.00403,6.057142857142856e-06,2.25,1.0,10.4
4,0.0098965714285714,0.00403,1.1714285714285711e-05,2.16,1.0,10.1
5,0.0098965714285714,0.00403,1.7371428571428566e-05,2.16,1.04,10.2
6,0.0098965714285714,0.00403,2.3028571428571423e-05,2.26,1.03,10.7
7,0.0098965714285714,0.00403,2.868571428571428e-05,2.33,1.0,10.8
8,0.0098965714285714,0.00403,3.4342857142857136e-05,2.26,1.0,10.7
9,0.0098965714285714,0.00403,4e-05,2.33,1.0,10.8
10,0.0098965714285714,0.0050199999999999,4e-07,1.03,10.4,5.81
11,0.0098965714285714,0.0050199999999999,6.057142857142856e-06,1.05,10.0,5.91
12,0.0098965714285714,0.0050199999999999,1.1714285714285711e-05,1.03,9.99,5.88
13,0.0098965714285714,0.0050199999999999,1.7371428571428566e-05,1.08,10.2,6.08
14,0.0098965714285714,0.0050199999999999,2.3028571428571423e-05,1.11,10.6,6.42
15,0.0098965714285714,0.0050199999999999,2.868571428571428e-05,1.1,9.63,6.16
16,0.0098965714285714,0.0050199999999999,3.4342857142857136e-05,1.16,9.77,6.45
17,0.0098965714285714,0.0050199999999999,4e-05,1.1,9.49,6.13
18,0.0098965714285714,0.00601,4e-07,0.954,11.2,5.91
19,0.0098965714285714,0.00601,6.057142857142856e-06,0.95,10.9,5.84
20,0.0098965714285714,0.00601,1.1714285714285711e-05,0.941,10.7,5.98
21,0.0098965714285714,0.00601,1.7371428571428566e-05,0.964,10.8,5.9
22,0.0098965714285714,0.00601,2.3028571428571423e-05,0.976,10.5,6.2
23,0.0098965714285714,0.00601,2.868571428571428e-05,0.991,10.8,6.22
24,0.0098965714285714,0.00601,3.4342857142857136e-05,0.95,10.4,5.99
25,0.0098965714285714,0.00601,4e-05,0.963,10.5,5.99
26,0.0098965714285714,0.007,4e-07,0.926,10.6,6.46
27,0.0098965714285714,0.007,6.057142857142856e-06,0.919,10.6,6.33
28,0.0098965714285714,0.007,1.1714285714285711e-05,0.944,11.0,6.39
29,0.0098965714285714,0.007,1.7371428571428566e-05,0.946,11.2,6.43
30,0.0098965714285714,0.007,2.3028571428571423e-05,0.925,10.4,6.48
31,0.0098965714285714,0.007,2.868571428571428e-05,0.959,11.0,6.62
32,0.0098965714285714,0.007,3.4342857142857136e-05,0.955,10.8,6.72
33,0.0098965714285714,0.007,4e-05,0.932,10.6,6.6
34,0.0118482857142857,7e-05,4e-07,12.8,1.04,4.38
35,0.0118482857142857,7e-05,6.057142857142856e-06,13.0,1.04,4.83
36,0.0118482857142857,7e-05,1.1714285714285711e-05,13.0,1.04,4.94
37,0.0118482857142857,7e-05,1.7371428571428566e-05,13.4,1.04,5.14
38,0.0118482857142857,7e-05,2.3028571428571423e-05,13.6,1.04,5.46
39,0.0118482857142857,7e-05,2.868571428571428e-05,14.3,1.04,5.5
40,0.0118482857142857,7e-05,3.4342857142857136e-05,14.7,1.04,5.67
41,0.0118482857142857,7e-05,4e-05,15.5,1.04,6.41
42,0.0118482857142857,0.00106,4e-07,5.41,1.04,8.76
43,0.0118482857142857,0.00106,6.057142857142856e-06,5.49,1.04,8.84
44,0.0118482857142857,0.00106,1.1714285714285711e-05,5.62,1.04,8.88
45,0.0118482857142857,0.00106,1.7371428571428566e-05,5.72,1.04,8.91
46,0.0118482857142857,0.00106,2.3028571428571423e-05,5.79,1.04,8.94
47,0.0118482857142857,0.00106,2.868571428571428e-05,5.88,1.04,8.94
48,0.0118482857142857,0.00106,3.4342857142857136e-05,6.01,1.04,8.96
49,0.0118482857142857,0.00106,4e-05,6.18,1.04,8.98
0,0.0118482857142857,0.00205,4e-07,3.49,1.04,9.04
1,0.0118482857142857,0.00205,6.057142857142856e-06,3.56,1.04,9.11
2,0.0118482857142857,0.00205,1.1714285714285711e-05,3.6,1.04,9.29
3,0.0118482857142857,0.00205,1.7371428571428566e-05,3.67,1.04,9.26
4,0.0118482857142857,0.00205,2.3028571428571423e-05,3.69,1.04,9.3
5,0.0118482857142857,0.00205,2.868571428571428e-05,3.81,1.04,9.76
6,0.0118482857142857,0.00205,3.4342857142857136e-05,3.81,1.04,9.71
7,0.0118482857142857,0.00205,4e-05,3.88,1.04,9.89
8,0.0118482857142857,0.00304,4e-07,2.52,1.04,9.74
9,0.0118482857142857,0.00304,6.057142857142856e-06,2.57,1.04,9.77
10,0.0118482857142857,0.00304,1.1714285714285711e-05,2.48,1.04,9.53
11,0.0118482857142857,0.00304,1.7371428571428566e-05,2.45,1.04,9.63
12,0.0118482857142857,0.00304,2.3028571428571423e-05,2.66,1.04,10.1
13,0.0118482857142857,0.00304,2.868571428571428e-05,2.81,1.04,10.6
14,0.0118482857142857,0.00304,3.4342857142857136e-05,2.67,1.04,10.2
15,0.0118482857142857,0.00304,4e-05,2.59,1.04,9.86
16,0.0118482857142857,0.00403,4e-07,2.13,1.04,10.3
17,0.0118482857142857,0.00403,6.057142857142856e-06,2.13,1.04,10.3
18,0.0118482857142857,0.00403,1.1714285714285711e-05,2.24,1.04,10.6
19,0.0118482857142857,0.00403,1.7371428571428566e-05,2.23,1.04,10.6
20,0.0118482857142857,0.00403,2.3028571428571423e-05,2.19,1.04,10.4
21,0.0118482857142857,0.00403,2.868571428571428e-05,2.23,1.04,10.6
22,0.0118482857142857,0.00403,3.4342857142857136e-05,2.24,1.04,10.6
23,0.0118482857142857,0.00403,4e-05,2.29,1.04,10.7
24,0.0118482857142857,0.0050199999999999,4e-07,0.995,10.6,5.71
25,0.0118482857142857,0.0050199999999999,6.057142857142856e-06,1.04,11.2,5.75
26,0.0118482857142857,0.0050199999999999,1.1714285714285711e-05,0.975,11.3,5.53
27,0.0118482857142857,0.0050199999999999,1.7371428571428566e-05,0.99,11.2,5.59
28,0.0118482857142857,0.0050199999999999,2.3028571428571423e-05,1.02,10.7,5.83
29,0.0118482857142857,0.0050199999999999,2.868571428571428e-05,1.02,10.9,5.86
30,0.0118482857142857,0.0050199999999999,3.4342857142857136e-05,1.02,10.4,5.88
31,0.0118482857142857,0.0050199999999999,4e-05,1.07,10.2,6.06
32,0.0118482857142857,0.00601,4e-07,0.94,11.4,6.13
33,0.0118482857142857,0.00601,6.057142857142856e-06,0.958,11.8,6.39
34,0.0118482857142857,0.00601,1.1714285714285711e-05,0.941,11.2,6.05
35,0.0118482857142857,0.00601,1.7371428571428566e-05,0.976,11.1,6.15
36,0.0118482857142857,0.00601,2.3028571428571423e-05,0.945,10.6,6.11
37,0.0118482857142857,0.00601,2.868571428571428e-05,0.979,10.3,6.27
38,0.0118482857142857,0.00601,3.4342857142857136e-05,0.973,10.3,6.21
39,0.0118482857142857,0.00601,4e-05,0.931,11.5,5.86
40,0.0118482857142857,0.007,4e-07,0.869,11.6,6.14
41,0.0118482857142857,0.007,6.057142857142856e-06,0.876,12.0,6.09
42,0.0118482857142857,0.007,1.1714285714285711e-05,0.885,11.4,6.2
43,0.0118482857142857,0.007,1.7371428571428566e-05,0.882,11.6,6.31
44,0.0118482857142857,0.007,2.3028571428571423e-05,0.885,11.7,6.19
45,0.0118482857142857,0.007,2.868571428571428e-05,0.919,12.1,6.19
46,0.0118482857142857,0.007,3.4342857142857136e-05,0.902,11.2,6.46
47,0.0118482857142857,0.007,4e-05,0.894,11.3,6.35
48,0.0138,7e-05,4e-07,13.0,1.08,4.47
49,0.0138,7e-05,6.057142857142856e-06,13.1,1.08,4.55
0,0.0138,7e-05,1.1714285714285711e-05,13.3,1.08,4.83
1,0.0138,7e-05,1.7371428571428566e-05,13.7,1.08,4.98
2,0.0138,7e-05,2.3028571428571423e-05,13.8,1.08,5.19
3,0.0138,7e-05,2.868571428571428e-05,14.0,1.08,5.59
4,0.0138,7e-05,3.4342857142857136e-05,14.5,1.08,5.91
5,0.0138,7e-05,4e-05,15.4,1.08,6.56
6,0.0138,0.00106,4e-07,5.37,1.08,8.78
7,0.0138,0.00106,6.057142857142856e-06,5.46,1.08,8.78
8,0.0138,0.00106,1.1714285714285711e-05,5.6,1.08,8.87
9,0.0138,0.00106,1.7371428571428566e-05,5.69,1.08,8.9
10,0.0138,0.00106,2.3028571428571423e-05,5.72,1.08,8.9
11,0.0138,0.00106,2.868571428571428e-05,5.79,1.08,8.88
12,0.0138,0.00106,3.4342857142857136e-05,5.92,1.08,8.93
13,0.0138,0.00106,4e-05,6.1,1.08,8.96
14,0.0138,0.00205,4e-07,3.52,1.08,9.1
15,0.0138,0.00205,6.057142857142856e-06,3.41,1.08,9.39
16,0.0138,0.00205,1.1714285714285711e-05,3.56,1.08,9.41
17,0.0138,0.00205,1.7371428571428566e-05,3.53,1.08,9.58
18,0.0138,0.00205,2.3028571428571423e-05,3.67,1.08,9.79
19,0.0138,0.00205,2.868571428571428e-05,3.57,1.08,9.78
20,0.0138,0.00205,3.4342857142857136e-05,3.68,1.08,9.89
21,0.0138,0.00205,4e-05,3.88,1.08,9.8
22,0.0138,0.00304,4e-07,2.51,1.08,9.69
23,0.0138,0.00304,6.057142857142856e-06,2.52,1.08,9.72
24,0.0138,0.00304,1.1714285714285711e-05,2.56,1.08,10.0
25,0.0138,0.00304,1.7371428571428566e-05,2.58,1.08,9.98
26,0.0138,0.00304,2.3028571428571423e-05,2.67,1.08,10.1
27,0.0138,0.00304,2.868571428571428e-05,2.68,1.08,10.2
28,0.0138,0.00304,3.4342857142857136e-05,2.7,1.08,10.2
29,0.0138,0.00304,4e-05,2.79,1.08,10.5
30,0.0138,0.00403,4e-07,2.14,1.08,10.4
31,0.0138,0.00403,6.057142857142856e-06,2.1,1.08,10.2
32,0.0138,0.00403,1.1714285714285711e-05,2.12,1.08,10.3
33,0.0138,0.00403,1.7371428571428566e-05,2.14,1.08,10.4
34,0.0138,0.00403,2.3028571428571423e-05,2.2,1.08,10.5
35,0.0138,0.00403,2.868571428571428e-05,2.12,1.08,10.4
36,0.0138,0.00403,3.4342857142857136e-05,2.22,1.08,10.7
37,0.0138,0.00403,4e-05,2.22,1.08,10.6
38,0.0138,0.0050199999999999,4e-07,0.976,11.1,5.59
39,0.0138,0.0050199999999999,6.057142857142856e-06,0.979,10.7,5.63
40,0.0138,0.0050199999999999,1.1714285714285711e-05,0.994,10.5,5.79
41,0.0138,0.0050199999999999,1.7371428571428566e-05,1.03,10.6,5.79
42,0.0138,0.0050199999999999,2.3028571428571423e-05,0.988,9.84,5.8
43,0.0138,0.0050199999999999,2.868571428571428e-05,1.01,10.6,5.81
44,0.0138,0.0050199999999999,3.4342857142857136e-05,1.02,10.3,5.9
45,0.0138,0.0050199999999999,4e-05,1.06,10.6,6.14
46,0.0138,0.00601,4e-07,0.914,12.3,5.85
47,0.0138,0.00601,6.057142857142856e-06,0.902,11.6,5.86
48,0.0138,0.00601,1.1714285714285711e-05,0.917,11.9,5.86
49,0.0138,0.00601,1.7371428571428566e-05,0.907,11.9,5.78
0,0.0138,0.00601,2.3028571428571423e-05,0.904,11.4,6.08
1,0.0138,0.00601,2.868571428571428e-05,0.89,12.0,5.67
2,0.0138,0.00601,3.4342857142857136e-05,0.907,11.5,5.86
3,0.0138,0.00601,4e-05,0.912,11.5,5.82
4,0.0138,0.007,4e-07,0.815,12.2,5.78
5,0.0138,0.007,6.057142857142856e-06,0.841,12.6,5.83
6,0.0138,0.007,1.1714285714285711e-05,0.824,12.4,5.79
7,0.0138,0.007,1.7371428571428566e-05,0.83,12.1,5.83
8,0.0138,0.007,2.3028571428571423e-05,0.849,12.4,5.97
9,0.0138,0.007,2.868571428571428e-05,0.851,12.4,5.95
10,0.0138,0.007,3.4342857142857136e-05,0.829,12.0,5.99
11,0.0138,0.007,4e-05,0.861,11.8,6.1
